year,month,n_articles
1978.0,2.0,1
1979.0,2.0,1
1979.0,3.0,1
1979.0,8.0,1
1979.0,10.0,1
1981.0,3.0,3
1981.0,6.0,1
1981.0,10.0,1
1982.0,10.0,1
1982.0,11.0,1
1983.0,5.0,1
1983.0,10.0,4
1983.0,11.0,1
1984.0,1.0,1
1984.0,3.0,1
1984.0,4.0,1
1984.0,6.0,2
1984.0,8.0,1
1984.0,10.0,1
1984.0,11.0,3
1984.0,12.0,1
1985.0,1.0,1
1985.0,5.0,1
1985.0,6.0,1
1985.0,7.0,1
1985.0,8.0,3
1985.0,9.0,3
1985.0,10.0,1
1985.0,11.0,2
1985.0,12.0,1
1986.0,3.0,2
1986.0,5.0,3
1986.0,6.0,4
1986.0,7.0,1
1986.0,8.0,5
1986.0,9.0,2
1986.0,10.0,1
1986.0,11.0,6
1986.0,12.0,2
1987.0,1.0,2
1987.0,2.0,4
1987.0,3.0,2
1987.0,4.0,5
1987.0,5.0,1
1987.0,6.0,5
1987.0,7.0,10
1987.0,8.0,2
1987.0,10.0,4
1987.0,12.0,8
1988.0,1.0,7
1988.0,2.0,4
1988.0,3.0,1
1988.0,4.0,5
1988.0,5.0,4
1988.0,6.0,20
1988.0,7.0,15
1988.0,8.0,29
1988.0,9.0,23
1988.0,10.0,21
1988.0,11.0,22
1988.0,12.0,12
1989.0,1.0,26
1989.0,2.0,49
1989.0,3.0,39
1989.0,4.0,42
1989.0,5.0,60
1989.0,6.0,46
1989.0,7.0,52
1989.0,8.0,58
1989.0,9.0,96
1989.0,10.0,140
1989.0,11.0,100
1989.0,12.0,112
1990.0,1.0,91
1990.0,2.0,106
1990.0,3.0,131
1990.0,4.0,186
1990.0,5.0,128
1990.0,6.0,109
1990.0,7.0,95
1990.0,8.0,65
1990.0,9.0,83
1990.0,10.0,131
1990.0,11.0,153
1990.0,12.0,104
1991.0,1.0,92
1991.0,2.0,54
1991.0,3.0,69
1991.0,4.0,66
1991.0,5.0,77
1991.0,6.0,73
1991.0,7.0,81
1991.0,8.0,49
1991.0,9.0,49
1991.0,10.0,82
1991.0,11.0,40
1991.0,12.0,75
1992.0,1.0,77
1992.0,2.0,67
1992.0,3.0,31
1992.0,4.0,32
1992.0,5.0,77
1992.0,6.0,88
1992.0,7.0,19
1992.0,8.0,20
1992.0,9.0,31
1992.0,10.0,12
1992.0,11.0,26
1992.0,12.0,17
1993.0,1.0,30
1993.0,2.0,16
1993.0,3.0,22
1993.0,4.0,26
1993.0,5.0,18
1993.0,6.0,14
1993.0,7.0,21
1993.0,8.0,31
1993.0,9.0,20
1993.0,10.0,16
1993.0,11.0,17
1993.0,12.0,14
1994.0,1.0,15
1994.0,2.0,23
1994.0,3.0,16
1994.0,4.0,17
1994.0,5.0,29
1994.0,6.0,16
1994.0,7.0,14
1994.0,8.0,21
1994.0,9.0,27
1994.0,10.0,27
1994.0,11.0,35
1994.0,12.0,16
1995.0,1.0,17
1995.0,2.0,39
1995.0,3.0,49
1995.0,4.0,54
1995.0,5.0,32
1995.0,6.0,24
1995.0,7.0,17
1995.0,8.0,20
1995.0,9.0,31
1995.0,10.0,43
1995.0,11.0,40
1995.0,12.0,30
1996.0,1.0,25
1996.0,2.0,22
1996.0,3.0,14
1996.0,4.0,15
1996.0,5.0,32
1996.0,6.0,23
1996.0,7.0,58
1996.0,8.0,31
1996.0,9.0,24
1996.0,10.0,24
1996.0,11.0,17
1996.0,12.0,42
1997.0,1.0,37
1997.0,2.0,32
1997.0,3.0,19
1997.0,4.0,31
1997.0,5.0,44
1997.0,6.0,84
1997.0,7.0,36
1997.0,8.0,45
1997.0,9.0,45
1997.0,10.0,113
1997.0,11.0,180
1997.0,12.0,229
1998.0,1.0,152
1998.0,2.0,144
1998.0,3.0,118
1998.0,4.0,99
1998.0,5.0,152
1998.0,6.0,143
1998.0,7.0,134
1998.0,8.0,113
1998.0,9.0,130
1998.0,10.0,155
1998.0,11.0,195
1998.0,12.0,164
1999.0,1.0,172
